Table 104.80. Percentage of persons 18 to 24 years old and age 25 and over. by educational attainment and state or jurisdiction: 2012 and 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[Standard errors appear in parentheses];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
State or jurisdiction;"Percent of 18- to 24-year-
olds who were high school completers\1\";;;;;;Percent of persons 25 years old and over. by educational attainment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2012;;;;;;;;;;;;;;;2022;;;;;;;;;;;;;;;;;;;;
;;;;;;;Less than high school completion;;;High school completion\1\ or higher;;;Bachelor's or higher degree;;;;;;;;;Less than high school completion;;;High school completion\1\ or higher;;;;;;" Some college/
associate’s degree";;;Bachelor's or higher degree;;;;;;;;
;2012;;;2022;;;;;;;;;Total;;;Bachelor's degree;;;Graduate degree;;;;;;Total;;;High school only;;;;;;Total;;;Bachelor's degree;;;Graduate degree;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;12;13;;;14;;;15;;
   United States ;85.302.668,0;;0.08912;88.415.209,0;;0.091764;13.606.875,0;;0.038913;86.393.125,0;;0.038913;29.182.725,0;;0.052067;18.263.023,0;;0.036095;10.919.702,0;;0.033653;10.343.327,0;;0.040352;89.656.673,0;;0.040352;26.069.332,0;;0.055402;27.894.482,0;;0.036142;35.692.859,0;;0.077903;21.609.036,0;;0.04961;14.083.823,0;;0.045597
Alabama ;84.477.388,0;;0.751489;88.848.959,0;;0.647186;16.215.411,0;;0.244121;83.784.589,0;;0.244121;23.355.859,0;;0.285593;14.620.448,0;;0.192854;8.735.411,0;;0.201385;11.055.612,0;;0.214117;88.944.388,0;;0.214117;30.895.954,0;;0.305415;29.496.177,0;;0.34421;28.552.257,0;;0.342068;17.578.871,0;;0.278853;10.973.386,0;;0.203968
Alaska ;86.253.309,0;;(2279931,00);86.001.241,0;;(1806005,00);8.160.695,0;;0.557476;91.839.305,0;;0.557476;28.860.361,0;;(1222736,00);17.427.706,0;;0.92596;11.432.654,0;;0.820409;7.110.819,0;;0.544806;92.889.181,0;;0.544806;27.740.921,0;;(113833,00);3.388.618,0;;(1044409,00);3.126.208,0;;(1091744,00);1.937.422,0;;0.928471;1.188.786,0;;0.84781
Arizona ;81.908.994,0;;0.626275;85.531.061,0;;0.553271;14.244.343,0;;0.206478;85.755.657,0;;0.206478;27.467.397,0;;0.288721;17.245.116,0;;0.23294;10.222.281,0;;0.181377;10.837.189,0;;0.164426;89.162.811,0;;0.164426;23.830.839,0;;0.225624;3.235.619,0;;0.271131;32.975.782,0;;0.246408;20.329.991,0;;0.218975;12.645.791,0;;0.167276
Arkansas ;84.500.162,0;;0.99334;87.494.958,0;;0.921103;14.893.538,0;;0.340585;85.106.462,0;;0.340585;21.232.282,0;;0.349531;13.904.402,0;;0.333102;732.788,0;;0.20729;10.914.445,0;;0.274425;89.085.555,0;;0.274425;34.238.238,0;;0.428759;29.541.671,0;;0.404445;25.305.646,0;;0.390862;15.536.452,0;;0.288984;9.769.194,0;;0.275296
California ;85.141.737,0;;0.212902;90.690.889,0;;0.197241;18.590.885,0;;0.093673;81.409.115,0;;0.093673;30.977.958,0;;0.113108;19.722.589,0;;0.100014;11.255.368,0;;0.076619;15.261.013,0;;0.091753;84.738.987,0;;0.091753;20.500.799,0;;0.104553;27.216.462,0;;0.106657;37.021.726,0;;0.123654;2.257.702,0;;0.10686;14.444.706,0;;0.077771
Colorado ;85.915.231,0;;0.752553;88.766.672,0;;0.610638;9.627.509,0;;0.20258;90.372.491,0;;0.20258;37.584.241,0;;0.341984;23.704.354,0;;0.292696;13.879.887,0;;0.218543;7.112.111,0;;0.192983;92.887.889,0;;0.192983;20.091.944,0;;0.253775;26.892.108,0;;0.294905;45.903.837,0;;0.325736;28.780.268,0;;0.255235;17.123.569,0;;0.242646
Connecticut ;86.766.285,0;;0.812301;90.294.039,0;;0.666928;10.107.018,0;;0.263123;89.892.982,0;;0.263123;3.719.763,0;;0.348462;20.632.091,0;;0.283641;16.565.539,0;;0.271805;8.623.155,0;;0.269821;91.376.845,0;;0.269821;25.645.142,0;;0.372877;23.475.594,0;;0.326318;42.256.109,0;;0.375719;23.212.784,0;;0.287691;19.043.325,0;;0.3039
Delaware ;82.295.771,0;;(1905846,00);88.379.827,0;;(1706025,00);11.739.603,0;;0.598745;88.260.397,0;;0.598745;30.210.525,0;;0.817263;19.002.943,0;;0.601339;11.207.582,0;;0.56074;7.635.266,0;;0.399449;92.364.734,0;;0.399449;28.053.527,0;;0.824835;27.690.278,0;;0.692651;36.620.929,0;;0.817986;21.062.641,0;;0.674199;15.558.288,0;;0.589131
District of Columbia;86.499.586,0;;(1419373,00);93.503.406,0;;(1072634,00);10.792.713,0;;0.457823;89.207.287,0;;0.457823;53.658.703,0;;0.76135;23.698.602,0;;0.770057;299.601,0;;0.737233;6.456.407,0;;0.437327;93.543.593,0;;0.437327;13.319.836,0;;0.604938;15.027.448,0;;0.723974;6.519.631,0;;0.83832;26.045.419,0;;0.814169;3.915.089,0;;0.69922
Florida ;8.420.302,0;;0.301443;87.536.176,0;;0.376397;1.357.696,0;;0.125926;8.642.304,0;;0.125926;26.784.161,0;;0.150971;17.284.161,0;;0.129044;9.5;;0.094373;10.091.382,0;;0.104508;89.908.618,0;;0.104508;27.086.568,0;;0.15523;28.533.287,0;;0.139376;34.288.764,0;;0.135795;21.353.106,0;;0.114501;12.935.658,0;;0.102152
Georgia ;81.483.147,0;;0.556952;86.006.236,0;;0.467212;14.835.422,0;;0.209043;85.164.578,0;;0.209043;28.318.298,0;;0.233201;17.938.761,0;;0.186398;10.379.537,0;;0.156965;10.530.949,0;;0.149394;89.469.051,0;;0.149394;27.036.801,0;;0.229743;27.796.713,0;;0.208214;34.635.536,0;;0.242951;20.617.669,0;;0.200673;14.017.868,0;;0.1896
Hawaii ;92.125.772,0;;0.991948;90.921.049,0;;(1052287,00);10.025.284,0;;0.430536;89.974.716,0;;0.430536;30.109.725,0;;0.57631;19.845.234,0;;0.488061;10.264.491,0;;0.410205;7.225.986,0;;0.343719;92.774.014,0;;0.343719;26.881.782,0;;0.607744;30.818.405,0;;0.620075;35.073.828,0;;0.520886;21.344.621,0;;0.409218;13.729.207,0;;0.439833
Idaho ;86.067.921,0;;(1305922,00);87.700.557,0;;0.988495;10.236.066,0;;0.397044;89.763.934,0;;0.397044;25.784.788,0;;0.695875;17.112.221,0;;0.538155;8.672.567,0;;0.416265;8.422.724,0;;0.350865;91.577.276,0;;0.350865;25.969.012,0;;0.504624;33.538.503,0;;0.53173;32.069.761,0;;0.568907;21.134.725,0;;0.470866;10.935.036,0;;0.338695
Illinois ;85.661.892,0;;0.418365;89.467.626,0;;0.427863;12.344.768,0;;0.172129;87.655.232,0;;0.172129;31.476.972,0;;0.198112;1.964.662,0;;0.153849;11.830.353,0;;0.129383;9.521.221,0;;0.139013;90.478.779,0;;0.139013;25.195.271,0;;0.198184;27.529.851,0;;0.202476;37.753.656,0;;0.231031;22.431.169,0;;0.204746;15.322.488,0;;0.179936
